University,Position,Unix,R
Uppsala University,Staff scientist,Intermediate,Intermediate
Stockholm University,PhD Student,Intermediate,Intermediate
Lund University Diabetes Centre,Bioinformatician,Advanced,Advanced
Sahlgrenska academy at university of Gothenburg,PhD Student,Beginner,Beginner
Stockholm University,Researcher,Intermediate,Intermediate
Karolinska Institutet,PhD Student,None,Intermediate
KTH,PhD Student,Beginner,Beginner
Karolinska Institute,Post-doc,Intermediate,Intermediate
Karolinska Institute,Post-doc,Beginner,Intermediate
Linkoping University,Post-doc,Intermediate,Intermediate
Uppsala universitet,Researcher,Intermediate,Intermediate
Karolinska Institutet,PhD Student,Beginner,Intermediate
Karolinska Institutet,PhD Student,Intermediate,Intermediate
Karolinska Institutet,Post-doc,Beginner,Beginner
Umea University,PhD Student,Beginner,Beginner
Stockholm University,PhD Student,Beginner,Beginner
Karolinska Institutet,PhD Student,Intermediate,Advanced
Lund University,Post-doc,Advanced,Advanced
Karolinska Institute,PhD Student,Beginner,Intermediate
Uppsala University,Researcher,Intermediate,Beginner
Karolinska Institute,Pre-doctoral student,Intermediate,Advanced
Stockholm University,Researcher,Intermediate,Advanced
Lund University,Post-doc,Advanced,Advanced
Karolinska Institutet,PhD Student,Intermediate,Intermediate
Uppsala University,PI,Intermediate,Intermediate
